Word,Pinyin,POS,Translation
啊,a,auxiliary,"ah, oh"
爱好,àihào,verb、noun,to like; hobby
白色,báisè,noun,white
班,bān,noun、 (classifier),"class, team; (measure word for groups)"
帮,bāng,verb,to help
帮忙,bāngmáng,verb,to help
包,bāo,verb、noun、 classifier,"to wrap, to pack; bag; measure word for bundles"
本子,běnzi,noun,notebook
比,bǐ,verb、preposition,to compare; than
笔,bǐ,noun、 (classifier),pen; (measure word for writing tools)
别,bié,adverb,"don't, not bad"
不错,búcuò,adjective,"not bad, pretty good"
不好意思,bù hǎoyìsi,,"sorry, embarrassed"
长,cháng,adjective,long
车站,chēzhàn,noun,station
出,chū,verb,"to go out, to leave"
出国,chūguó,verb,to go abroad
出来,chūlái,verb,to come out
出门,chūmén,verb,to go out
出去,chūqù,verb,to go out
床,chuáng,noun,bed
词,cí,noun,"word, term"
次,cì,classifier、 (adjective),measure word of time or occasion; (next in order)
从,cóng,preposition、 (adverb),from; (ever)
从小,cóngxiǎo,adverb,from childhood
错,cuò,adjective,"wrong, mistaken"
打,dǎ,verb,"to hit, to play, to make"
打车,dǎchē,verb,to take a taxi
打开,dǎkāi,verb,to open
但,dàn,conjunction、 (adverb),"but, however; (only, merely)"
但是,dànshì,conjunction,"but, however"
得,de,auxiliary,particle indicating degree or manner
地,de,auxiliary,particle modifying an adjective into an adverb
等,děng,verb、 (preposition),"to wait; (and so on, until)"
地铁,dìtiě,noun,"subway, metro"
点,diǎn,verb、(noun、 classifier),"to light, to ignite; (point, dot; to order)"
懂,dǒng,verb,to understand
动,dòng,verb,"to move, to act"
饭馆,fànguǎn,noun,restaurant
飞,fēi,verb,to fly
高,gāo,adjective、noun,"tall, high; height"
高中,gāozhōng,noun,high school
告诉,gàosu,verb,to tell
个子,gèzi,noun,"height, stature"
跟,gēn,preposition、 conjunction、 (noun、verb),"with; and; (heel; to follow, to accompany)"
公交车,gōngjiāochē,noun,bus
过,guò,verb,"to pass, to cross; excessive"
过来,guòlái,verb,to come over
过年,guònián,verb,to celebrate the New Year
过去,guòqù,verb,to go over
过,guo,auxiliary,particle indicating past experience
还是,háishi,adverb、 conjunction,still; or
黑色,hēisè,noun,black
红茶,hóngchá,noun,black tea
红色,hóngsè,noun,red
后面,hòumiàn,noun,"behind, back"
花,huā,verb,to spend (money or time)
