Word,Pinyin,POS,Translation
挨,āi,动、介,
挨家挨户,āijiā-āihù,,
哀求,āiqiú,动,
挨,ái,动,
癌,ái,名,
癌症,áizhèng,名,
爱不释手,àibúshìshǒu,,
爱戴,àidài,动,
暧昧,àimèi,形,
爱慕,àimù,动,
碍事,àishì,动、形,
爱惜,àixī,动,
艾滋病,àizībìng,名,
安定,āndìng,形、动,
安抚,ānfǔ,动,
安眠药,ānmiányào,名,
安宁,ānníng,形,
安稳,ānwěn,形,
安详,ānxiáng,形,
安心,ānxīn,形,
安逸,ānyì,形,
安置,ānzhì,动,
暗地里,àndìlǐ,名,
案件,ànjiàn,名,
按理,ànlǐ,副,
按钮,ànniǔ,名,
按说,ànshuō,副,
暗中,ànzhōng,名,
凹,āo,形,
熬,áo,动,
傲,ào,形,
傲慢,àomàn,形,
奥秘,àomì,名,
扒,bā,动,
疤,bā,名,
巴不得,bābudé,动,
八成,bāchéng,数量、副,
八卦,bāguà,名、形,
巴结,bājie,动,
芭蕾,bālěi,名,
巴掌,bāzhang,名,
拔,bá,动,
把柄,bǎbǐng,名,
把关,bǎguān,动,
把手,bǎshou,名,
靶子,bǎzi,名,
坝,bà,名,
霸道,bàdào,形,
罢工,bàgōng,动,
罢了,bàle,助,
罢免,bàmiǎn,动,
罢休,bàxiū,动,
霸占,bàzhàn,动,
掰,bāi,动,
百般,bǎibān,副、数量,
摆动,bǎidòng,动,
百分比,bǎifēnbǐ,名,
百合,bǎihé,名,
百科全书,bǎikē quánshū,,
摆平,bǎipíng,动,
摆设,bǎishe,名,
柏树,bǎishù,名,
败坏,bàihuài,动、形,
拜会,bàihuì,动,
拜见,bàijiàn,动,
拜托,bàituō,动,
扳,bān,动,
颁布,bānbù,动,
斑点,bāndiǎn,名,
颁发,bānfā,动,
颁奖,bānjiǎng,动,
斑马线,bānmǎxiàn,名,
搬迁,bānqiān,动,
板块,bǎnkuài,名,
版权,bǎnquán,名,
扮,bàn,动,
伴,bàn,名、动,
拌,bàn,动,
绊,bàn,动,
半边天,bànbiāntiān,名,
半岛,bàndǎo,名,
半导体,bàndǎotǐ,名,
绊脚石,bànjiǎoshí,名,
半径,bànjìng,名,
伴侣,bànlǚ,名,
办事处,bànshìchù,名,
半数,bànshù,名,
半途而废,bàntú’érfèi,,
半信半疑,bànxìn-bànyí,,
办学,bànxué,动,
伴奏,bànzòu,动,
帮手,bāngshou,名,
绑,bǎng,动,
绑架,bǎngjià,动,
磅,bàng,量、名,
煲,bāo,名、动,
剥,bāo,动,
包庇,bāobì,动,
褒贬,bāobiǎn,动,
包袱,bāofu,名,
包罗万象,bāoluó-wànxiàng,,
包容,bāoróng,动,
包围,bāowéi,动,
包扎,bāozā,动,
饱和,bǎohé,动,
饱经沧桑,bǎojīng-cāngsāng,,
宝库,bǎokù,名,
堡垒,bǎolěi,名,
饱满,bǎomǎn,形,
保密,bǎomì,动,
保姆,bǎomǔ,名,
宝石,bǎoshí,名,
保守,bǎoshǒu,动、形,
保卫,bǎowèi,动,
保鲜,bǎoxiān,动,
保养,bǎoyǎng,动,
保佑,bǎoyòu,动,
宝藏,bǎozàng,名,
保重,bǎozhòng,动,
报,bào,动,
豹,bào,名,
报案,bào’àn,动,
报酬,bàochou,名,
报仇,bàochóu,动,
报答,bàodá,动,
报废,bàofèi,动,
暴风骤雨,bàofēng-zhòuyǔ,,
报复,bàofù,动,
抱负,bàofù,名,
曝光,bàoguāng,动,
暴利,bàolì,名,
