Word,Pinyin,POS,Translation
哎,āi,interjection,"hey, oh"
哎呀,āiyā,interjection,"oh my, ah"
唉,ài,interjection,"alas, oh"
爱护,àihù,verb,"to cherish, to take good care of"
安,ān,adjective、verb,"peaceful, calm; to pacify, to comfort"
安全带,ānquándài,noun,seatbelt
安慰,ānwèi,verb、adjective,"to comfort, to console; comforting"
安装,ānzhuāng,verb,"to install, to set up"
暗,àn,adjective,dark
熬夜,áoyè,verb,to stay up late
把握,bǎwò,verb、noun,"to grasp, to hold; certainty"
白,bái,adjective、adverb,"white; in vain, for nothing"
半夜,bànyè,number- classifier、noun,midnight; the middle of the night
傍晚,bàngwǎn,noun,"evening, dusk"
包裹,bāoguǒ,verb、noun,"to wrap; parcel, package"
包含,bāohán,verb,to contain
包括,bāokuò,verb,to include
包装,bāozhuāng,verb、noun,"to pack, to package; packaging"
薄,báo,adjective,thin
宝,bǎo,noun,"treasure, precious"
保,bǎo,verb、noun,"to protect, to safeguard; guardian"
保安,bǎo’ān,verb、noun,to ensure safety; security guard
宝贝,bǎobèi,noun,"treasure, baby"
保持,bǎochí,verb,"to keep, to maintain"
保存,bǎocún,verb,"to preserve, to save"
宝贵,bǎoguì,adjective,"precious, valuable"
保留,bǎoliú,verb,"to retain, to keep"
保险,bǎoxiǎn,noun、adjective,"insurance; safe, secure"
保质期,bǎozhìqī,noun,"shelf life, expiration date"
报到,bàodào,verb,"to report for duty, to check in"
报道,bàodào,verb、noun,to report news; news report
报告,bàogào,verb、noun,to report; report
报警,bàojǐng,verb,to report to the police
暴雨,bàoyǔ,noun,"torrential rain, rainstorm"
抱怨,bàoyuàn,verb,to complain
背,bèi,noun、verb、 adjective,"back, the back of the body; to carry on the back, to bear, to recite from memory; out-of-the-way, remote"
背后,bèihòu,noun,"behind, at the back"
背景,bèijǐng,noun,background
被子,bèizi,noun,"blanket, quilt"
本,běn,adverb、pronoun,"originally; this, current"
本地,běndì,noun,local area
本领,běnlǐng,noun,"skill, ability"
本人,běnrén,pronoun,"oneself, I"
本质,běnzhì,noun,"essence, nature"
彼此,bǐcǐ,pronoun,"each other, one another"
比分,bǐfēn,noun,score
比例,bǐlì,noun,"proportion, ratio"
比喻,bǐyù,verb、noun,"to compare to; metaphor, analogy"
必,bì,adverb,"certainly, necessarily"
毕竟,bìjìng,adverb,"after all, after all"
避免,bìmiǎn,verb,to avoid
闭幕式,bìmùshì,noun,closing ceremony
必然,bìrán,adjective、noun,inevitable; inevitability
必需,bìxū,verb,"must have, essential"
必要,bìyào,adjective,necessary
便,biàn,adverb,"then, in that case"
变动,biàndòng,verb,"to change, to fluctuate"
便利,biànlì,adjective、verb,convenient; to facilitate
便利店,biànlìdiàn,noun,convenience store
标题,biāotí,noun,"title, heading"
标志,biāozhì,noun、verb,"symbol, sign; to mark"
表达,biǎodá,verb,to express
表面,biǎomiàn,noun,surface
表明,biǎomíng,verb,"to show, to indicate"
表情,biǎoqíng,noun,expression
别,bié,verb,"to leave, to part ways"
饼,bǐng,noun,"cake, biscuit"
病房,bìngfáng,noun,"sickroom, ward"
病情,bìngqíng,noun,illness condition
拨打,bōdǎ,verb,to dial
玻璃,bōli,noun,glass
博物馆,bówùguǎn,noun,museum
不利,búlì,adjective,unfavorable
不幸,búxìng,adjective、noun,"unfortunate, unlucky; misfortune"
不要紧,búyàojǐn,adjective,"not serious, not matter"
补充,bǔchōng,verb,"to supplement, to replenish"
不得了,bùdéliǎo,adjective,"terrible, serious"
不符,bùfú,verb,not in accordance with
不良,bùliáng,adjective,"bad, harmful"
不然,bùrán,conjunction、 (adjective),otherwise; (or else)
步行,bùxíng,verb,to walk
不足,bùzú,verb、noun,"to be insufficient, to lack; insufficiency, shortage"
才,cái,noun,"talent, ability"
裁判,cáipàn,verb、noun,"to judge; referee, judge"
采访,cǎifǎng,verb,to interview
采取,cǎiqǔ,verb,"to adopt, to use"
彩色,cǎisè,noun,color
采用,cǎiyòng,verb,"to adopt, to use"
参考,cānkǎo,verb,"to consult, to refer to"
餐饮,cānyǐn,noun,catering
参与,cānyù,verb,to participate
藏,cáng,verb,to hide
操作,cāozuò,verb,to operate
册,cè,,measure word for books
测,cè,verb,to measure
测试,cèshì,verb,to test
曾,céng,adverb,"once, ever"
曾经,céngjīng,adverb,"once, ever"
插,chā,verb,to insert
差别,chābié,noun,difference
差距,chājù,noun,"gap, disparity"
叉子,chāzi,noun,fork
拆,chāi,verb,"to tear down, to dismantle"
产,chǎn,verb,to produce
产量,chǎnliàng,noun,"output, production"
产品,chǎnpǐn,noun,product
产业,chǎnyè,noun,industry
长处,chángchù,noun,"strength, strong point"
长度,chángdù,noun,length
长久,chángjiǔ,adjective,long-lasting
长期,chángqī,noun、adjective,long-term; long period
常识,chángshí,noun,common knowledge
尝试,chángshì,verb,"to attempt, to try"
长途,chángtú,adjective,long-distance
长远,chángyuǎn,adjective,"long-term, far-reaching"
场所,chǎngsuǒ,noun,"place, venue"
超,chāo,verb,"to exceed, to surpass"
超出,chāochū,verb,"to exceed, to go beyond"
超级,chāojí,adjective,"super, ultra"
超速,chāosù,verb,"to speed, to exceed the speed limit"
朝,cháo,verb、preposition,to face; towards
吵,chǎo,adjective、verb,noisy; to quarrel
炒,chǎo,verb,to stir-fry
车祸,chēhuò,noun,car accident
车库,chēkù,noun,garage
车辆,chēliàng,noun,vehicle
车厢,chēxiāng,noun,"carriage, compartment"
车主,chēzhǔ,noun,vehicle owner
彻底,chèdǐ,adjective,"thorough, complete"
沉,chén,verb、adjective,"to sink; deep, heavy"
沉默,chénmò,verb,to keep silent
称1,chēng,verb,"to call, to address"
称2,chēng,verb,to weigh
称为,chēngwéi,verb,"to be called, to be known as"
称赞,chēngzàn,verb,"to praise, to commend"
成本,chéngběn,noun,cost
承担,chéngdān,verb,"to bear, to undertake"
程度,chéngdù,noun,"degree, level"
成分,chéngfèn,noun,"ingredient, component"
成果,chéngguǒ,noun,"achievement, result"
成就,chéngjiù,noun、verb,"accomplishment, achievement; to achieve"
成立,chénglì,verb,"to establish, to set up"
成年,chéngnián,verb,to become an adult
城区,chéngqū,noun,urban area
成人,chéngrén,verb、noun,to become an adult; adult
承认,chéngrèn,verb,"to admit, to acknowledge"
承受,chéngshòu,verb,"to bear, to endure"
成熟,chéngshú,verb、adjective,to mature; mature
乘务员,chéngwùyuán,noun,"attendant, crew member"
程序,chéngxù,noun,"procedure, program"
成员,chéngyuán,noun,member
成长,chéngzhǎng,verb,to grow up
橙子,chéngzi,noun,orange
池,chí,noun,"pool, pond"
持续,chíxù,verb,"to continue, to last"
尺子,chǐzi,noun,ruler
翅膀,chìbǎng,noun,wing
冲,chōng,verb,"to rush, to rinse, to pour"
充电,chōngdiàn,verb,to charge
充分,chōngfèn,adjective,"sufficient, ample"
充满,chōngmǎn,verb,"to fill, to be full of"
充值,chōngzhí,verb,"to recharge, to top up"
充足,chōngzú,adjective,"sufficient, adequate"
重复,chóngfù,verb,to repeat
虫子,chóngzi,noun,"insect, bug"
宠物,chǒngwù,noun,pet
抽,chōu,verb,"to take out, to pull out, to smoke"
丑,chǒu,adjective,ugly
臭,chòu,adjective,"smelly, stinky"
初,chū,noun、adverb、 prefix,"beginning, early; for the first time; prefix for early times"
出版,chūbǎn,verb,to publish
初级,chūjí,adjective,"elementary, primary"
初期,chūqī,noun,early period
出色,chūsè,adjective,"outstanding, excellent"
出售,chūshòu,verb,to sell
出席,chūxí,verb,to attend
出自,chūzì,verb,to come from
除夕,chúxī,noun,Chinese New Year's Eve
处,chǔ,verb,"to handle, to manage"
处理,chǔlǐ,verb,"to handle, to deal with"
处于,chǔyú,verb,"to be in, to be located at"
处,chù,noun,"place, location"
传,chuán,verb,"to pass, to spread"
传播,chuánbō,verb,"to spread, to propagate"
传递,chuándì,verb,"to pass on, to transmit"
